id,hypers,roc,acc
68,"Namespace(experiment_id='68', head_linear=401, head_ps=0.5250370764547185, lr=0.0006855119417296847, lr_mult=26, mask_prob=0.07657350329507759, max_masked=23, max_tgt_length=84, stem_ps=0.24101133091624308, train_epochs=8, vis_mask_prob=0.16421925268431536)",0.7699842683658341,0.7009615302085876
69,"Namespace(experiment_id='69', head_linear=858, head_ps=0.49988739514172087, lr=0.0017784800328318482, lr_mult=72, mask_prob=0.26982515782660405, max_masked=8, max_tgt_length=46, stem_ps=0.20053860659457967, train_epochs=8, vis_mask_prob=0.006963265566285515)",0.7346842921330512,0.6788461804389954
70,"Namespace(experiment_id='70', head_linear=854, head_ps=0.1365347824560728, lr=0.0015706982556486252, lr_mult=48, mask_prob=0.13969163311368352, max_masked=16, max_tgt_length=60, stem_ps=0.07279011458393154, train_epochs=8, vis_mask_prob=0.24550554214129555)",0.735329402311079,0.6875
72,"Namespace(experiment_id='72', head_linear=982, head_ps=0.3117270797988724, lr=0.0011484993670825372, lr_mult=12, mask_prob=0.17872444990452088, max_masked=31, max_tgt_length=73, stem_ps=0.14368977818450318, train_epochs=8, vis_mask_prob=0.2581046966757045)",0.7321698714683991,0.6778846383094788
73,"Namespace(experiment_id='73', head_linear=479, head_ps=0.5273275386914272, lr=0.0009876861491339875, lr_mult=41.89068786241621, mask_prob=0.18686519865614218, max_masked=20, max_tgt_length=80, stem_ps=0.20759976199899077, train_epochs=8, vis_mask_prob=0.296570448387684)",0.730355263306812,0.6701923012733461
74,"Namespace(experiment_id='74', head_linear=575, head_ps=0.5227719959878484, lr=0.00034705855294888847, lr_mult=17.735483326527053, mask_prob=0.15743045833997046, max_masked=7, max_tgt_length=100, stem_ps=0.2589958712559391, train_epochs=8, vis_mask_prob=0.10786246078714118)",0.7263563347178681,0.675000011920929
75,"Namespace(experiment_id='75', head_linear=417, head_ps=0.6982913808895147, lr=0.0011248128737816315, lr_mult=67.56715151194072, mask_prob=0.29306848847142886, max_masked=5, max_tgt_length=71, stem_ps=0.25126613698068156, train_epochs=8, vis_mask_prob=0.13150165344273076)",0.7372402111132488,0.6769230961799622
76,"Namespace(experiment_id='76', head_linear=571, head_ps=0.6116052828284444, lr=0.0006176949577505492, lr_mult=29.669722908845106, mask_prob=0.29123540818037974, max_masked=15, max_tgt_length=89, stem_ps=0.2646752490632131, train_epochs=8, vis_mask_prob=0.2525486956586378)",0.7153404182275692,0.6605769395828247
77,"Namespace(experiment_id='77', head_linear=469, head_ps=0.681233944447879, lr=0.0013747313011104596, lr_mult=83.34578801584505, mask_prob=0.28850215071714336, max_masked=2, max_tgt_length=76, stem_ps=0.2279579810583131, train_epochs=8, vis_mask_prob=0.21933804548208366)",0.7446099346967416,0.6846153736114502
78,"Namespace(experiment_id='78', head_linear=479, head_ps=0.77338396780868, lr=0.0013372358746026607, lr_mult=66.24302885873367, mask_prob=0.26539557177846773, max_masked=22, max_tgt_length=75, stem_ps=0.27269912403897867, train_epochs=8, vis_mask_prob=0.19404719374114077)",0.7491087293593037,0.6807692050933838
79,"Namespace(experiment_id='79', head_linear=520, head_ps=0.5722961329285063, lr=0.0011171839361180669, lr_mult=58.28740013103972, mask_prob=0.06082467937334217, max_masked=16, max_tgt_length=82, stem_ps=0.22754301558581844, train_epochs=8, vis_mask_prob=0.21433886501416655)",0.7510817856347922,0.6788461804389954
80,"Namespace(experiment_id='80', head_linear=498, head_ps=0.78753721667178, lr=0.0018570186097009533, lr_mult=89.93730494926533, mask_prob=0.23145348587008044, max_masked=8, max_tgt_length=83, stem_ps=0.2004382459576018, train_epochs=8, vis_mask_prob=0.2572019968303099)",0.7382965318725927,0.675000011920929
81,"Namespace(experiment_id='81', head_linear=514, head_ps=0.7353680475593767, lr=0.0018252889801060436, lr_mult=96.57150305462173, mask_prob=0.0393764167002127, max_masked=23, max_tgt_length=80, stem_ps=0.20536754895421702, train_epochs=8, vis_mask_prob=0.19975674261314375)",0.7362970675781205,0.6913461685180664
82,"Namespace(experiment_id='82', head_linear=499, head_ps=0.501809007642797, lr=0.0005576200002505023, lr_mult=25.496742391164574, mask_prob=0.0574032003730959, max_masked=13, max_tgt_length=99, stem_ps=0.2030921507563918, train_epochs=8, vis_mask_prob=0.14465000149242307)",0.7422218952657967,0.6913461685180664
83,"Namespace(experiment_id='83', head_linear=453, head_ps=0.5420663544684933, lr=0.001711186871410888, lr_mult=69.76403279681423, mask_prob=0.12069282726079454, max_masked=26, max_tgt_length=81, stem_ps=0.25231963463635054, train_epochs=8, vis_mask_prob=0.10358485323264213)",0.7329885200568904,0.6778846383094788
84,"Namespace(experiment_id='84', head_linear=414, head_ps=0.5097690425777454, lr=0.000617972832505014, lr_mult=34.85473551925533, mask_prob=0.18364825606528312, max_masked=11, max_tgt_length=85, stem_ps=0.21066719488848426, train_epochs=8, vis_mask_prob=0.18250048772695662)",0.7303099924171259,0.6778846383094788
